Unnamed: 0,words,counts
1126,css,50
1127,amazon,50
1128,formula,50
1129,girl,50
1130,risk,50
1131,bad,50
1132,matrix,50
1133,mammal,50
1134,turn,50
1135,rhetorical,50
1136,pun,50
1137,scientists,50
1138,sense,50
1139,magical,50
1140,technologies,50
1141,display,50
1142,comment,50
1143,visualization,50
1144,hello,50
1145,building,49
1146,camping,49
1147,europe,49
1148,increasing,49
1149,label,49
1150,introduction,49
1151,google,49
1152,cycle,49
1153,black,49
1154,favorite,49
1155,16,49
1156,representative,49
1157,compares,49
1158,cite,49
1159,biggest,49
1160,birds,49
1161,tax,49
1162,groups,49
1163,celsius,48
1164,beauty,48
1165,rhyming,48
1166,simplify,48
1167,ending,48
1168,excerpt,48
1169,measures,48
1170,engaging,48
1171,implement,48
1172,free,48
1173,traits,48
1174,plausible,48
1175,advertising,47
1176,underlined,47
1177,endangered,47
1178,qualities,47
1179,cold,47
1180,riddle,47
1181,full,47
1182,atmosphere,47
1183,actions,47
1184,results,47
1185,summarizes,47
1186,trying,47
1187,fantasy,47
1188,fewer,47
1189,culture,47
1190,otherwise,47
1191,college,47
1192,2020,47
1193,york,47
1194,share,46
1195,phenomenon,46
1196,likely,46
1197,happen,46
1198,went,46
1199,comparing,46
1200,easy,46
1201,kitchen,46
1202,200,46
1203,romantic,46
1204,risks,46
1205,winter,46
1206,update,46
1207,town,46
1208,bias,46
1209,office,46
1210,flower,46
1211,palindrome,46
1212,users,46
1213,forms,46
1214,wants,45
1215,surface,45
1216,cube,45
1217,cultural,45
1218,fish,45
1219,coronavirus,45
1220,creature,45
1221,limerick,45
1222,accurate,45
1223,run,45
1224,useful,45
1225,gender,45
1226,assess,45
1227,china,45
1228,sandwich,45
1229,impacts,45
1230,platform,45
1231,r,45
1232,fun,45
1233,walking,45
1234,known,44
1235,sleep,44
1236,node,44
1237,looking,44
1238,avoid,44
1239,poverty,44
1240,photosynthesis,44
1241,quantum,44
1242,factor,44
1243,fashion,44
1244,holiday,44
1245,classroom,44
1246,u,44
1247,physics,44
1248,fahrenheit,44
1249,ascending,44
1250,mood,44
1251,rainforest,44
1252,mission,44
1253,numerical,44
1254,local,44
1255,reality,44
1256,gift,44
1257,salary,44
1258,g,44
1259,rating,44
1260,angle,44
1261,scheme,44
1262,library,44
1263,computers,43
1264,south,43
1265,joy,43
1266,considered,43
1267,evidence,43
1268,rephrase,43
1269,influence,43
1270,remember,43
1271,transition,43
1272,basketball,43
1273,volume,43
1274,recognition,43
1275,engagement,43
1276,reaction,43
1277,friendship,43
1278,degrees,43
1279,challenge,43
1280,involves,43
1281,goals,43
1282,loop,43
1283,morning,43
1284,organic,43
1285,decimal,43
1286,closest,43
1287,clear,43
1288,talking,43
1289,minute,43
1290,cup,43
1291,illustrate,43
1292,late,43
1293,outdoor,43
1294,mammals,43
1295,complaint,43
1296,literature,43
1297,requires,42
1298,rectangle,42
1299,syntax,42
1300,introduce,42
1301,shape,42
1302,conservation,42
1303,informal,42
1304,mentioned,42
1305,figures,42
1306,ancient,42
1307,routine,42
1308,unnecessary,42
1309,moral,42
1310,levels,42
1311,index,42
1312,miles,42
1313,retrieve,42
1314,international,42
1315,jobs,42
1316,finding,42
1317,chocolate,42
1318,collect,42
1319,wrong,41
1320,located,41
1321,standard,41
1322,vegetable,41
1323,instead,41
1324,decide,41
1325,eat,41
1326,cooking,41
1327,commerce,41
1328,tomorrow,41
1329,symptoms,41
1330,approach,41
1331,ideal,41
1332,european,41
1333,degree,41
1334,still,41
1335,president,40
1336,said,40
1337,try,40
1338,back,40
1339,4x,40
1340,practice,40
1341,desert,40
1342,regression,40
1343,twitter,40
1344,reach,40
1345,improved,40
1346,manage,40
1347,caused,40
1348,lead,40
1349,period,40
1350,24,40
1351,box,40
1352,train,40
1353,stages,40
1354,clean,40
1355,civil,40
1356,reason,40
1357,footprint,40
1358,diversity,40
1359,banana,40
1360,comedy,40
1361,cream,40
1362,seven,40
1363,garden,40
1364,north,39
1365,printing,39
1366,now,39
1367,dark,39
1368,sea,39
1369,explaining,39
1370,prediction,39
1371,separate,39
1372,devise,39
1373,region,39
1374,separated,39
1375,target,39
1376,cell,39
1377,artist,39
1378,sure,39
1379,invention,39
1380,briefly,39
1381,orange,39
1382,concepts,39
1383,foods,39
1384,memory,39
1385,members,39
1386,shows,39
1387,board,39
1388,prevent,39
1389,recognize,39
1390,technical,38
1391,yes,38
1392,principle,38
1393,supply,38
1394,themes,38
1395,trees,38
1396,walk,38
1397,consumption,38
1398,queries,38
1399,politics,38
1400,italian,38
1401,africa,38
1402,verse,38
1403,spam,38
1404,strong,38
1405,polite,38
1406,realistic,38
1407,pizza,38
1408,left,38
1409,fits,38
1410,nums,38
1411,speaking,37
1412,demand,37
1413,off,37
1414,meters,37
1415,classes,37
1416,conditions,37
1417,technique,37
1418,individual,37
1419,teaching,37
1420,released,37
1421,under,37
1422,destination,37
1423,achieve,37
1424,hour,37
1425,cheese,37
1426,dictionary,37
1427,described,37
1428,puzzle,37
1429,stars,37
1430,outcome,37
1431,getting,37
1432,literary,37
1433,too,37
1434,won,37
1435,poster,37
1436,mass,36
1437,smart,36
1438,pitch,36
1439,never,36
1440,election,36
1441,cuisine,36
1442,away,36
1443,optimize,36
1444,driven,36
1445,weekend,36
1446,variables,36
1447,dream,36
1448,involved,36
1449,fallacy,36
1450,recently,36
1451,expressed,36
1452,regarding,36
1453,finance,36
1454,properties,36
1455,representation,36
1456,road,36
1457,legal,36
1458,perspective,36
1459,conserve,36
1460,acronym,36
1461,connect,36
1462,banking,36
1463,vector,36
1464,oriented,36
1465,feel,36
1466,lesson,36
1467,launch,36
1468,figurative,36
1469,distinct,36
1470,radius,35
1471,divided,35
1472,delivery,35
1473,plural,35
1474,interest,35
1475,lowest,35
1476,available,35
1477,thesis,35
1478,divisible,35
1479,percentage,35
1480,alliteration,35
1481,quickly,35
1482,weight,35
1483,higher,35
1484,multiplication,35
1485,little,35
1486,represents,35
1487,arguments,35
1488,helps,35
1489,vegetarian,35
1490,thinking,35
1491,sport,35
1492,buying,35
1493,hot,35
1494,wind,35
1495,automated,35
1496,once,35
1497,speaker,35
1498,white,35
1499,tea,35
1500,coding,35
1501,rock,35
1502,tourist,35
1503,manner,35
1504,sets,35
1505,demonstrate,35
1506,native,35
1507,existing,35
1508,architecture,35
1509,land,35
1510,force,34
1511,80,34
1512,shop,34
1513,cover,34
1514,designing,34
1515,recommendation,34
1516,keeping,34
1517,operating,34
1518,mnemonic,34
1519,managing,34
1520,mistake,34
1521,innovative,34
1522,condition,34
1523,middle,34
1524,fit,34
1525,differentiate,34
1526,professor,34
1527,procedure,34
1528,productivity,34
1529,loyalty,34
1530,trend,34
1531,bold,34
1532,3d,34
1533,constitution,34
1534,million,33
1535,electricity,33
1536,face,33
1537,driving,33
1538,reflect,33
1539,____,33
1540,recycling,33
1541,formed,33
1542,alien,33
1543,combining,33
1544,tv,33
1545,showing,33
1546,belong,33
1547,suggestion,33
1548,chess,33
1549,pie,33
1550,greeting,33
1551,foreign,33
1552,13,33
1553,eggs,33
1554,note,33
1555,expressing,33
1556,london,33
1557,beautiful,33
1558,unit,33
1559,maintaining,33
1560,expand,33
1561,effectiveness,33
1562,affects,33
1563,comparative,33
1564,cases,33
1565,abstract,33
1566,rain,33
1567,crisis,32
1568,shorter,32
1569,variable,32
1570,due,32
1571,also,32
1572,width,32
1573,begins,32
1574,wrote,32
1575,tag,32
1576,18,32
1577,14,32
1578,feet,32
1579,invent,32
1580,lost,32
1581,materials,32
1582,notation,32
1583,summarise,32
1584,emails,32
1585,provides,32
1586,advantage,32
1587,focus,32
1588,japan,32
1589,ball,32
1590,movement,32
1591,option,32
1592,additional,32
1593,track,32
1594,crime,32
1595,move,32
1596,control,32
1597,encourages,32
1598,thought,32
1599,ingredient,32
1600,coordinates,32
1601,rise,32
1602,heart,31
1603,low,31
1604,overview,31
1605,indicate,31
1606,entertainment,31
1607,diseases,31
1608,functions,31
1609,costs,31
1610,doctor,31
1611,perimeter,31
1612,oil,31
1613,username,31
1614,season,31
1615,genres,31
1616,yellow,31
1617,evolution,31
1618,baking,31
1619,paragraphs,31
1620,surprise,31
1621,watch,31
1622,path,31
1623,answers,31
1624,gdp,31
1625,synopsis,31
1626,genetic,31
1627,descending,31
1628,issues,31
1629,origin,31
1630,habits,31
1631,j,31
1632,material,31
1633,tech,31
1634,personality,31
1635,convince,31
1636,directly,31
1637,operations,31
1638,selling,30
1639,among,30
1640,printer,30
1641,powerful,30
1642,adverbs,30
1643,periodic,30
1644,flight,30
1645,analytics,30
1646,planets,30
1647,able,30
1648,inputs,30
1649,automation,30
1650,nodes,30
1651,simpler,30
1652,roots,30
1653,sells,30
1654,resolve,30
1655,combination,30
1656,chinese,30
1657,parse,30
1658,reader,30
1659,fitness,30
1660,syllables,30
1661,consumer,30
1662,presidential,30
1663,apply,30
1664,vivid,30
1665,boy,30
1666,iphone,30
1667,ii,29
1668,easier,29
1669,linked,29
1670,informative,29
1671,virus,29
1672,1000,29
1673,delicious,29
1674,2021,29
1675,canada,29
1676,accuracy,29
1677,traffic,29
1678,cannot,29
1679,candidate,29
1680,cut,29
1681,expensive,29
1682,mark,29
1683,disease,29
1684,areas,29
1685,created,29
1686,spell,29
1687,client,29
1688,nlp,29
1689,providing,29
1690,reorder,29
1691,investment,29
1692,lowercase,29
1693,reptile,29
1694,supervised,29
1695,currently,29
1696,happiness,29
1697,tropical,29
1698,merge,29
1699,lot,29
1700,fly,29
1701,infer,29
1702,selection,29
1703,currency,29
1704,fast,29
1705,union,29
1706,retail,29
1707,alternate,29
1708,training,29
1709,zero,29
1710,songs,29
1711,remote,29
1712,harry,29
1713,potter,29
1714,bring,29
1715,call,29
1716,classic,29
1717,belonging,29
1718,disaster,29
1719,reviews,29
1720,ensure,29
1721,17,28
1722,continuous,28
1723,20th,28
1724,printers,28
1725,singular,28
1726,wall,28
1727,meant,28
1728,seen,28
1729,illustrates,28
1730,inches,28
1731,testing,28
1732,join,28
1733,patient,28
1734,motion,28
1735,complexity,28
1736,taste,28
1737,logic,28
1738,metaphors,28
1739,income,28
1740,gas,28
1741,recycle,28
1742,smoothie,28
1743,automatically,28
1744,translation,28
1745,effectively,28
1746,secure,28
1747,debate,28
1748,dishes,28
1749,featuring,28
1750,dragon,28
1751,parameters,28
1752,websites,28
1753,lists,28
1754,motivate,28
1755,credit,28
1756,parallel,28
1757,alice,28
1758,cyber,28
1759,45,28
1760,street,28
1761,stocks,28
1762,attributes,28
1763,units,27
1764,defined,27
1765,allows,27
1766,labels,27
1767,assume,27
1768,yoga,27
1769,spring,27
1770,double,27
1771,efficiency,27
1772,removing,27
1773,140,27
1774,seo,27
1775,battle,27
1776,snack,27
1777,cleaning,27
1778,metric,27
1779,column,27
1780,matches,27
1781,coherent,27
1782,displays,27
1783,organizations,27
1784,spread,27
1785,sketch,27
1786,storage,27
1787,apology,27
1788,shirt,27
1789,lion,27
1790,kingdom,27
1791,improvement,27
1792,3rd,27
1793,nearest,27
1794,played,27
1795,planning,27
1796,request,27
1797,2019,27
1798,pressure,27
1799,arithmetic,27
1800,creativity,27
1801,reorganize,27
1802,promoting,27
1803,dealing,27
1804,finish,27
1805,articles,27
1806,teach,27
1807,visiting,27
1808,sadness,27
1809,40,26
1810,industrial,26
1811,commercial,26
1812,api,26
1813,direct,26
1814,exam,26
1815,border,26
1816,various,26
1817,him,26
1818,hyperbole,26
1819,california,26
1820,romeo,26
1821,facial,26
1822,font,26
1823,near,26
1824,diagnose,26
1825,notes,26
1826,player,26
1827,readability,26
1828,records,26
1829,reply,26
1830,celebrity,26
1831,national,26
1832,everyone,26
1833,drama,26
1834,atomic,26
1835,schedule,26
1836,lunch,26
1837,landscape,26
1838,british,26
1839,nations,26
1840,devices,26
1841,reformulate,26
1842,preserving,26
1843,japanese,26
1844,bee,26
1845,paris,26
1846,household,26
1847,frequency,26
1848,laws,26
1849,template,26
1850,players,26
1851,continent,26
1852,academic,26
1853,fire,26
1854,visual,26
1855,outfit,26
1856,deforestation,25
1857,require,25
1858,quadratic,25
1859,german,25
1860,link,25
1861,gold,25
1862,strength,25
1863,cook,25
1864,yesterday,25
1865,bill,25
1866,symbol,25
1867,memorable,25
1868,pronouns,25
1869,5x,25
1870,microsoft,25
1871,roll,25
1872,trivia,25
1873,5th,25
1874,saying,25
1875,sorting,25
1876,entrepreneur,25
1877,discovery,25
1878,balanced,25
1879,urban,25
1880,300,25
1881,mathematics,25
1882,act,25
1883,nuclear,25
1884,chain,25
1885,sustainability,25
1886,wikipedia,25
1887,usa,25
1888,maintain,25
1889,roles,25
1890,connected,25
1891,facing,25
1892,ever,25
1893,mask,25
1894,exactly,25
1895,talk,25
1896,san,25
1897,entry,25
1898,toy,25
1899,thank,25
1900,reads,25
1901,150,25
1902,fake,25
1903,shortest,25
1904,combines,25
1905,educational,25
1906,properly,25
1907,instruments,25
1908,analyse,25
1909,interpret,25
1910,mouse,25
1911,privacy,24
1912,row,24
1913,bought,24
1914,segment,24
1915,dye,24
1916,robotics,24
1917,uppercase,24
1918,profit,24
1919,east,24
1920,see,24
1921,sector,24
1922,identity,24
1923,angles,24
1924,sonnet,24
1925,picnic,24
1926,typically,24
1927,overall,24
1928,meditation,24
1929,biography,24
1930,exploration,24
1931,convincing,24
1932,enter,24
1933,leading,24
1934,pairs,24
1935,television,24
1936,bear,24
1937,blanks,24
1938,critical,24
1939,likes,24
1940,soccer,24
1941,ratio,24
1942,core,24
1943,demonstrates,24
1944,eco,24
1945,giving,24
1946,generation,24
1947,finds,24
1948,francisco,24
1949,occur,24
1950,guidelines,24
1951,final,24
1952,applying,24
1953,rhymes,24
1954,here,24
1955,connection,24
1956,fi,24
1957,mars,24
1958,newton,24
1959,democracy,24
1960,layout,24
1961,outside,24
1962,leadership,24
1963,african,24
1964,pretend,23
1965,king,23
1966,2000,23
1967,berlin,23
1968,becoming,23
1969,across,23
1970,hope,23
1971,geometric,23
1972,often,23
1973,salad,23
1974,texts,23
1975,juliet,23
1976,production,23
1977,bridge,23
1978,months,23
1979,modified,23
1980,choices,23
1981,female,23
1982,spoken,23
1983,poetic,23
1984,appears,23
1985,innovation,23
1986,shakespeare,23
1987,because,23
1988,fossil,23
1989,antonyms,23
1990,polynomial,23
1991,highlight,23
1992,developer,23
1993,impacted,23
1994,traveling,23
1995,assignment,23
1996,quantity,23
1997,attention,23
1998,tip,23
1999,discovers,23
2000,distinguish,23
2001,assemble,23
2002,o,23
2003,window,23
2004,aspects,23
2005,balance,23
2006,charity,23
2007,startup,23
2008,ate,23
2009,half,23
2010,sad,23
2011,shapes,23
2012,bar,23
2013,ran,23
2014,staying,22
2015,couple,22
2016,ones,22
2017,since,22
2018,record,22
2019,added,22
2020,safe,22
2021,statistics,22
2022,discussion,22
2023,emotional,22
2024,operation,22
2025,manufacturing,22
2026,football,22
2027,machines,22
2028,reasoning,22
2029,exclamatory,22
2030,mysterious,22
2031,trust,22
2032,suggestions,22
2033,universe,22
2034,stores,22
2035,those,22
2036,promotes,22
2037,favor,22
2038,drink,22
2039,hotel,22
2040,autumn,22
2041,saving,22
2042,optimization,22
2043,woman,22
2044,schools,22
2045,balls,22
2046,conjunction,22
2047,extra,22
2048,ad,22
2049,kinds,22
2050,protein,22
2051,feelings,22
2052,longer,22
2053,faced,22
2054,dollars,22
2055,alternatives,22
2056,similarity,22
2057,vision,22
2058,others,22
2059,chicken,22
2060,decade,22
2061,strengths,22
2062,requirements,22
2063,send,22
2064,checklist,22
2065,encourage,22
2066,bacteria,22
2067,background,22
2068,compress,22
2069,biodiversity,22
2070,stronger,22
2071,respect,22
2072,vehicle,22
2073,h,22
2074,relational,22
2075,60,22
2076,sunny,22
2077,doing,22
2078,atom,21
2079,several,21
2080,desktop,21
2081,coming,21
2082,community,21
2083,trade,21
2084,server,21
2085,poetry,21
2086,alphabetically,21
2087,factual,21
2088,structured,21
2089,styles,21
2090,furniture,21
2091,really,21
2092,helpful,21
2093,speak,21
2094,appear,21
2095,access,21
2096,weaknesses,21
2097,convey,21
2098,newspaper,21
2099,populous,21
2100,mystery,21
2101,wedding,21
2102,attacks,21
2103,lengths,21
2104,freedom,21
2105,disasters,21
2106,property,21
2107,accurately,21
2108,emergency,21
2109,marks,21
2110,copy,21
2111,else,21
2112,route,21
2113,emphasize,21
2114,revenue,21
2115,independent,21
2116,attractions,21
2117,dioxide,21
2118,recipes,21
2119,presidents,21
2120,department,21
2121,etc,21
2122,organized,21
2123,irony,21
2124,lower,21
2125,amendment,21
2126,communicate,21
2127,drive,21
2128,knight,21
2129,fourth,21
2130,lyric,21
2131,cells,21
2132,seconds,21
2133,collection,21
2134,fear,21
2135,transport,21
2136,brave,20
2137,frequent,20
2138,cookies,20
2139,sub,20
2140,economics,20
2141,built,20
2142,bank,20
2143,hexadecimal,20
2144,_____,20
2145,plane,20
2146,iot,20
2147,net,20
2148,clouds,20
2149,melody,20
2150,greet,20
2151,invest,20
2152,powered,20
2153,documents,20
2154,rising,20
2155,wars,20
2156,90,20
2157,possessive,20
2158,regex,20
2159,trait,20
2160,ax,20
2161,expected,20
2162,awareness,20
2163,completes,20
2164,sounds,20
2165,butterfly,20
2166,goes,20
2167,gravity,20
2168,multiply,20
2169,density,20
2170,comprehensive,20
2171,vowels,20
2172,transactions,20
2173,expressions,20
2174,slow,20
2175,rectangular,20
2176,claim,20
2177,born,20
2178,pay,20
2179,happens,20
2180,policies,20
2181,quotes,20
2182,consecutive,20
2183,press,20
2184,matter,20
2185,oranges,20
2186,mind,20
2187,theorem,20
2188,powerpoint,20
2189,teenagers,20
2190,domain,20
2191,abc,20
2192,bio,20
2193,rubik,20
2194,los,20
2195,contact,20
2196,quick,20
2197,wild,20
2198,depression,19
2199,dates,19
2200,photography,19
2201,designed,19
2202,subsequence,19
2203,germany,19
2204,einstein,19
2205,ends,19
2206,brain,19
2207,itinerary,19
2208,close,19
2209,kill,19
2210,hand,19
2211,indian,19
2212,resilience,19
2213,specify,19
2214,loan,19
2215,fragment,19
2216,official,19
2217,instance,19
2218,belongs,19
2219,roman,19
2220,fuels,19
2221,respective,19
2222,authors,19
2223,biased,19
2224,solved,19
2225,oceans,19
2226,cryptocurrency,19
2227,fox,19
2228,technological,19
2229,medicine,19
2230,alphabet,19
2231,button,19
2232,titanic,19
2233,classified,19
2234,premise,19
2235,heading,19
2236,imagery,19
2237,bug,19
2238,restaurants,19
2239,walked,19
2240,imaginary,19
2241,compelling,19
2242,findings,19
2243,processes,19
